Temp (°C),Pressure (MPa),Feedstock concentration,Residence time (min),Catalyst,Ref
Lignin,,,,,
400,37.1,3 wt%,60,RuCl₃/C; Ru(NH₃)₆Cl₃/C; RhCl₃/C; Rh(NO₃)₃/C; H₂PtCl₆/C; Pt(NH₃)₄(NO₃)₂/C; PdCl₂/C; Pd(NH₃)₄Cl₂/C; Pd(CH₃COO)₂/C; Pd(NO₃)₄(NO₃)₂/C; NiCl₂/C; Ni(CH₃COO)₂/C; Ni(NO₃)₂/C,[193]
380,23,2 wt%,5–60,Ni/Al₂O₃; Ni/hydrotalcite; Raney nickel; Ru/C; Ru/Al₂O₃,[100]
500,0.05–0.18 g/cm³,5-33 wt%,10,Copper wire; iron wire; nickel wire,[170]
400,37.1,3 wt%,60,Charcoal; RuCl₃/TiO₂; Ru(NO)(NO₃)₃/TiO₂; RuCl₃/C; Ru(NO)(NO₃)₃/C; Ru/C,[194]
500–725,0.05–0.18 g/cm³,5–33.3 wt%,2.5–75,/,[195]
400,28,3 wt%,120,Ni/MgO,[196]
400,25,3 wt%,180,Ru/TiO₂; S–Ru/TiO₂,[197]
400,25,5 wt%,120,Ni/MgO,[198]
400,0.5 g/cm³ (water density),0.1 g,180,Ru/TiO₂; Ru/C; Ru/Al₂O₃; Rh/C; Pt/Al₂O₃; Pd/C; Pd/Al₂O₃,[199]
400,0.5 g/cm³ (water density),3 wt%,180,Ru/TiO₂; Ru/C; Ru/Al₂O₃,[200]
400,0.33 g/cm³ (water density),0.1 g,15,Ru/TiO₂; Ru/Al₂O₃; Ru/C; Pt/C; Pt/Al₂O₃; Rh/C; Pd/C; Pd/Al₂O₃; Ni/Al₂O₃,[201]
400,0.3 g/cm³ (water density),0.1 g,120,Ni/MgO,[202]
400,0.33 g/cm³ (water density),0.1 g,15,NaOH; Ni/Al₂O₃; Ru/TiO₂,[70]
650,26,17 wt%,50,Na₂CO₃; K₂CO₃; Ni–Ce/Al₂O₃; Ni/Al₂O₃; Ru/Al₂O₃,[65]
650,26,17 wt%,50,Ni/Al₂O₃; Ni/AC; Ni/MgO; Ni/TiO₂; Ni/ZrO₂; Ni–Ce/Al₂O₃; Ni–Cu/Al₂O₃; Ni–Co/Al₂O₃; Ni–Ce/Al₂O₃; Ni–Ce/TiO₂; Ni–Ce/ZrO₂,[203]
650,26,17 wt%,50,Ni–Co/Mg–Al,[204]
Phenol,,,,,
400–600,20–42.5,0.55 g / 15 mL–3.5 g/15 mL,60,K₂CO₃,[107]
450,25,0.32 mol/L,30,Ru–Ni/AC; Ru–Ni/Al₂O₃; Ru–Ni/CeO₂; Ru–Ni/ZrO₂,[108]
560–640,25,1 wt%,20 s,/,[205]
700,0.1–100,1×10⁻² – 1×10⁻¹ M,0–15,/,[206]
400–500,0.1 g/cm³ (water density),5.2 wt%,3–32,Ru/GCB,[207]
600–700,30,5 wt%,0–60,Nickel wire,[208]
370–450,25,0.1 wt%,0.5–100 s,/,[110]
Guaiacol,,,,,
600,25,0.05-1 wt%,94 s,/,[112]
500–650,25,1 wt%,30–1200 s,Ru/Al₂O₃,[109]
